session_id,object_position,heading,target,value,time,view_point
4,520,0,0,261.8699,11.1739999999991,180
4,863,0,0,135,11.9539999999979,180
4,715,0,45,8.130102,14.1290000000008,180
4,523,0,45,351.8699,6.52199999999721,180
4,718,0,90,177.7094,3.67399999999907,180
4,203,0,90,251.565,13.6640000000043,180
4,206,0,135,161.565,4.38899999999558,180
4,528,0,135,153.9704,4.71500000000378,180
4,205,0,180,191.3099,3.89600000000064,180
4,638,0,180,167.5741,8.37399999999616,180
4,527,0,225,153.9704,3.71500000000378,180
4,507,0,225,173.3675,4.37700000000041,180
4,867,0,270,173.3675,5.08999999999651,180
4,634,0,270,300.0686,16.2350000000006,180
4,714,0,315,158.9625,6.0769999999975,180
4,632,0,315,181.0416,15.2940000000017,180
4,751,45,0,280.008,33.9250000000029,180
4,731,45,0,235.2348,25.7209999999977,180
4,735,45,45,310.2364,11.6790000000037,180
4,410,45,45,166.6075,11.5930000000008,180
4,406,45,90,161.565,8.77000000000407,180
4,102,45,90,292.3801,0.745000000002619,180
4,105,45,135,177.2737,7.1140000000014,180
4,538,45,135,351.8699,7.91900000000169,180
4,107,45,180,182.2906,5.90700000000652,180
4,107,45,180,5.194429,5.9690000000046,180
4,107,45,180,182.2906,5.90700000000652,180
4,107,45,180,5.194429,5.9690000000046,180
4,104,45,225,177.7094,6.35700000000361,180
4,537,45,225,170.2176,8.86299999999756,180
4,534,45,270,286.9275,13.5789999999979,180
4,534,45,270,161.565,8.31399999999849,180
4,534,45,270,286.9275,13.5789999999979,180
4,534,45,270,161.565,8.31399999999849,180
4,734,45,315,161.565,10.2909999999974,180
4,531,45,315,307.875,6.458000000006,180
4,230,90,0,161.565,4.46800000000076,180
4,781,90,0,286.9275,8.62799999999697,180
4,783,90,45,292.3801,10.8389999999999,180
4,461,90,45,178.0251,4.73099999999977,180
4,465,90,90,181.4688,13.0800000000017,180
4,123,90,90,175.4622,4.54200000000128,180
4,128,90,135,307.875,7.87200000000303,180
4,236,90,135,151.6992,4.47000000000116,180
4,137,90,180,307.875,14.1840000000011,180
4,235,90,180,173.3675,5.03699999999662,180
4,124,90,225,18.43495,3.82799999999406,180
4,567,90,225,161.565,13.3790000000008,180
4,231,90,270,180.971,8.72400000000198,180
4,564,90,270,45,5.65000000000146,180
4,784,90,315,177.7094,4.94799999999668,180
4,561,90,315,286.9275,7.14099999999598,180
4,260,135,0,251.565,5.54299999999785,180
4,580,135,0,150.7808,4.90799999999581,180
4,471,135,45,18.43495,3.6449999999968,180
4,583,135,45,286.9275,17.6880000000019,180
4,476,135,90,336.8014,6.4539999999979,180
4,263,135,90,173.3675,6.52300000000105,180
4,158,135,135,173.3675,11.5310000000027,180
4,185,135,135,161.565,7.95200000000477,180
4,157,135,180,178.0251,3.58800000000338,180
4,032,135,180,149.8265,8.00400000000081,180
4,031,135,225,135,12.8090000000011,180
4,154,135,225,164.5388,14.012999999999,180
4,584,135,270,336.8014,12.4440000000031,180
4,261,135,270,307.875,9.37099999999919,180
4,581,135,315,153.9704,3.64199999999983,180
4,581,135,315,167.5741,5.91700000000128,180
4,581,135,315,153.9704,3.64199999999983,180
4,581,135,315,167.5741,5.91700000000128,180
4,250,180,0,135,8.66999999999825,180
4,683,180,0,161.565,6.73300000000017,180
4,170,180,45,178.0251,8.4890000000014,180
4,170,180,45,5.194429,6.51499999999942,180
4,170,180,45,178.0251,8.4890000000014,180
4,170,180,45,5.194429,6.51499999999942,180
4,172,180,90,336.8014,5.75,180
4,253,180,90,160.4077,11.3500000000058,180
